2,200,37,30
17,1706,284,90
20,2173,66,40
23,2359,73,10
9,1164,1471,280
6,639,2472,310
34,3436,448,200
37,3851,192,130
44,4466,85,50
49,4940,282,110
43,4544,778,100
50,5282,93,50
51,5378,129,30
32,3413,2295,210
40,4188,1735,100
59,6065,284,90
69,6927,63,50
68,6802,402,120
74,7566,213,130
77,7987,493,380
84,8522,75,10
86,8735,87,80
38,3966,4957,200
92,9260,49,30
58,5976,4612,180
96,9653,1154,200
87,8866,2484,400
31,3333,8127,120
88,8900,2670,280
33,3579,8429,270
78,8061,4182,150
54,5626,6862,230
48,4946,7796,230
56,5899,7219,270
24,2595,10772,210
70,7022,6845,250
82,8233,5757,120
66,6834,7407,300
72,7238,7125,120
5,701,13788,170
83,8483,6751,160
39,4115,11370,470
57,5856,10363,410
12,1251,15375,460
64,6657,10582,520
62,6398,11044,430
4,530,17114,520
75,7743,10715,440
79,8051,10612,340
14,1455,17413,370
99,10057,9011,320
45,4508,14968,400
90,9017,10674,380
95,9594,10303,350
52,5305,14905,390
47,4863,15659,300
21,2151,18994,710
22,2482,18977,500
61,6100,15670,420
25,2655,19428,500
8,1003,21394,430
71,7327,15691,660
35,3699,21191,300
85,8697,16818,310
97,9840,16923,500
94,9594,17482,580
91,9151,18551,310
46,4763,24268,970
3,495,29048,740
98,9920,20136,1200
11,1149,29409,1020
18,2064,29004,500
53,5438,26131,510
1,194,31881,940
41,4216,28383,580
73,7564,25549,1010
67,6882,26731,1300
13,1597,32533,830
63,6333,28307,760
10,1000,34660,930
80,8076,28099,1400
26,2686,34511,510
36,3827,33887,520
89,8908,29314,740
0,274,38450,970
55,5795,33441,1000
28,3015,36736,1230
27,2735,38033,590
60,6090,35190,1160
93,9377,32405,640
16,1898,40396,500
81,8357,34443,600
30,3060,40255,610
42,4278,39552,800
29,3077,41253,1020
15,1696,43149,720
7,761,44598,600
19,2066,43806,890
65,6718,39669,1000
76,7826,39061,730
