0,845,241,38
1,960,486,276
2,1594,523,321
4,2092,797,640
3,2751,707,585
6,2862,582,536
5,3011,1545,1445
7,3083,3163,3083
9,3795,1295,998
8,3901,1400,1287
11,4007,4307,4007
10,4322,2176,2116
12,4411,1537,1427
13,4506,4606,4506
14,5228,1047,911
15,5455,1131,1027
16,5787,1995,1862
17,6026,2038,1965
18,6574,1673,1513
19,6895,1736,1656
20,6672,3381,3321
21,7370,2483,2250
22,7549,3779,3674
24,7468,7478,7468
23,7758,3929,3729
25,7681,7981,7681
26,8404,4227,3952
28,8776,2935,2785
27,9494,2498,2213
29,9983,10083,9983
30,9800,9830,9800
31,10458,2664,2462
32,10846,5573,5323
34,11038,5579,5479
33,11631,5830,5565
35,11587,5843,5788
36,11777,2357,2317
37,11878,5964,5899
39,11838,2377,2347
38,12909,2599,2377
41,12840,12930,12840
40,12886,13386,12886
42,13910,4736,4443
44,14125,14175,14125
43,14275,7182,7077
45,14587,3654,3521
47,14848,7429,7274
46,14853,7676,7421
48,15291,15491,15291
49,15539,5209,5146
51,16011,5437,5167
50,16497,4174,4079
52,16618,8409,8264
55,16932,3426,3330
53,17869,3583,3431
54,18278,3671,3587
57,18860,3774,3654
56,18934,6341,6268
59,19432,6480,6307
58,19890,4997,4855
60,19837,19887,19837
61,19844,19854,19844
62,19762,20062,19762
64,20567,5154,4991
63,21416,4299,4123
65,22528,5707,5374
67,22957,11578,11328
66,23239,4671,4617
69,23257,11633,11568
68,23751,4770,4660
72,23740,23790,23740
70,24016,8022,7912
71,24010,24020,24010
74,23939,8013,7953
75,24310,4872,4814
73,24441,12225,12180
78,24497,8205,8072
77,25181,8433,8193
76,26056,5231,5069
79,26130,26140,26130
80,26097,6531,6454
81,26336,5287,5223
82,27194,5458,5292
84,27237,13668,13573
83,27472,5496,5460
86,27941,6987,6837
85,27937,14118,13963
88,28220,28250,28220
87,28743,14416,14121
89,28848,14524,14384
90,28759,29259,28759
91,29644,5930,5832
92,29812,7478,7413
93,29718,29818,29718
95,29821,29871,29821
94,30254,6150,5958
96,31176,6275,6153
97,31502,7898,7830
99,31691,6398,6278
98,31966,32266,31966
Average Throughput:0.0023623349318466374
